AMFI Code,Fund Name,Category,1Y CAGR (%),3Y CAGR (%),5Y CAGR (%),Risk Score,Score
150902,Edelweiss Nifty Midcap150 Momentum 50 Index Fund,Mid Cap,4.038778424695155,18.077415070045678,,5,6.846449042027407
118777,Nippon India Small Cap Fund,Small Cap,10.789528340975195,17.981272280470595,21.06446867266709,5,6.788763368282357
118778,Nippon India Small Cap Fund,Small Cap,10.789528340975195,17.981272280470595,21.06446867266709,5,6.788763368282357
151824,Canara Robeco Multi Cap Fund,Flexi Cap,5.514950166112964,16.628710403843282,,4,6.777226242305969
VWO,Vanguard Emerging Markets,International,18.261782802502058,17.92728521301308,6.817613153244739,5,6.7563711278078475
149882,SBI Multicap Fund,Flexi Cap,1.9355784464629044,15.221514311258,,3,6.7329085867547995
149870,HDFC Nifty 100 Equal Weight Index Fund,Index / Large Cap,7.13501251282791,16.526385051648763,,4,6.715831030989258
148921,Aditya Birla Sun Life Multi,Flexi Cap,10.80691642651297,16.47469438269922,14.701287630017678,4,6.68481662961953
150892,Edelweiss Nifty Smallcap 250 Index Fund,Small Cap,8.229351674830587,17.78471534962234,,5,6.670829209773403
148474,Baroda BNP Paribas Large and Mid Cap Fund,Mid Cap,6.031418773515496,16.449436710695032,15.118490218838287,4,6.669662026417019
119723,SBI ELSS Tax Saver FUND,ELSS (Tax Saving),0.018183762515389112,16.408364872382684,16.760386803431548,4,6.6450189234296095
149483,Sundaram Nifty 100 Equal Weight Fund (Formerly Known as Principal Nifty 100 Equal Weight Fund),Index / Large Cap,7.37451594897891,16.39349245152706,,4,6.636095470916236
120046,HSBC Flexi Cap Fund,Flexi Cap,8.18117676457113,17.724077298293174,14.927593966851083,5,6.634446378975904
120843,quant Flexi Cap Fund,Flexi Cap,15.671943143272493,17.70675151490373,16.938041139697546,5,6.6240509089422375
119556,Aditya Birla Sun Life Small Cap Fund,Small Cap,18.952292459010998,17.680241879840896,15.925265426786606,5,6.608145127904537
118955,HDFC Flexi Cap Fund,Flexi Cap,3.831392867251382,17.664922828024608,19.279426636333685,5,6.598953696814764
IWM,iShares Russell 2000 ETF,International,33.07084654457921,18.984111007912375,8.294693560691524,6,6.590466604747425
133710,LIC MF Large & Mid Cap Fund,Mid Cap,3.8898760655885045,16.309706068690822,13.519793949717208,4,6.5858236412144935
148053,Tata Multi Asset Allocation Fund,Flexi Cap,10.629866356769323,14.94936070534445,13.773249657039187,3,6.56961642320667
120828,quant Small Cap Fund,Small Cap,13.33207589086074,18.949005738792213,21.16234975276372,6,6.569403443275327
SCHD,Schwab US Dividend Equity,International,31.244815779224776,16.27071643287237,10.10108564462624,4,6.56242985972342
119178,Tata Mid Cap Fund,Mid Cap,10.155336593219587,17.524401457713857,16.889771071136362,5,6.514640874628315
VO,Vanguard Mid-Cap ETF,International,17.914611606478402,17.511332632251108,8.415162814682375,5,6.506799579350664
150738,Tata Nifty Midcap 150 Momentum 50 Index Fund,Mid Cap,3.664930106669151,17.479829239610957,,5,6.487897543766573
118678,Nippon India Vision Large & Mid Cap Fund,Mid Cap,4.34500583918167,17.472480464861007,15.188012957985775,5,6.483488278916605
118675,Nippon India Vision Large & Mid Cap Fund,Mid Cap,4.34511412729901,17.471998446544124,15.18757980810932,5,6.483199067926474
120158,Kotak Large & Midcap Fund,Mid Cap,5.3560002957003805,16.12920594033229,15.366259225593492,4,6.477523564199374
120564,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap,10.72108341886815,17.453094693343463,13.60227490148156,5,6.471856816006078
119566,Sundaram Large and Midcap Fund Direct Plan,Mid Cap,12.665818568767161,17.399223997774715,14.379012078586072,5,6.439534398664829
150677,SBI Nifty Smallcap 250 Index Fund,Small Cap,7.940589789206953,17.397597498660854,,5,6.438558499196512
151727,HDFC NIFTY Smallcap 250 Index Fund,Small Cap,7.972027217344846,17.38481599174857,,5,6.430889595049143
141925,Axis Flexi Cap Fund,Flexi Cap,7.327731092436984,16.04956511118023,10.80062397146888,4,6.429739066708136
149283,ICICI Prudential Nifty Smallcap 250 Index Fund,Small Cap,7.974493537446148,17.37718651368465,,5,6.4263119082107885
120392,Invesco India Largecap Fund,Index / Large Cap,6.5865384615384714,15.988787753165767,13.327732884921506,4,6.393272651899459
IWN,iShares Russell 2000 Value ETF,International,36.5545492978693,18.61878279190585,9.497799987862798,6,6.371269675143509
118620,Edelweiss ELSS Tax Saver Fund,ELSS (Tax Saving),8.817881557723318,15.911510773815674,14.024482786603244,4,6.346906464289405
120847,quant ELSS Tax Saver Fund,ELSS (Tax Saving),14.71971429302985,17.201942962543804,17.61879867063754,5,6.321165777526282
148519,Nippon India Nifty Smallcap 250 Index Fund,Small Cap,8.045223028245086,17.198866542690826,16.53024153452747,5,6.319319925614495
120186,ICICI Prudential US Bluechip Equity Fund,Index / Large Cap,21.965628356605805,17.10872200315574,13.153868009832404,5,6.2652332018934445
119071,DSP Midcap Fund,Mid Cap,7.9408313523306795,17.05167535009233,13.751576255607878,5,6.2310052100553985
151130,HSBC Small Cap Fund,Small Cap,13.83009597117515,17.0324942136739,,5,6.21949652820434
140353,Edelweiss Flexi Cap Fund,Flexi Cap,5.649871593827416,16.908926073938325,14.890108509917566,5,6.145355644362995
119354,Baroda BNP Paribas MULTI CAP FUND,Flexi Cap,6.612306540665069,16.894513233596985,15.511932024159346,5,6.136707940158191
SLX,VanEck Steel ETF,International,56.00119588401711,20.890478060875584,15.498054050545118,8,6.13428683652535
120492,JM Flexicap Fund (Direct),Flexi Cap,4.634771368993751,16.849189052656577,17.63812606270536,5,6.109513431593946
150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,Index / Large Cap,3.192584963954692,15.50367085603186,,4,6.102202513619116
SIZE,iShares MSCI USA Size Factor ETF,International,19.104675890101763,16.811270863263374,8.739322743741894,5,6.086762517958023
